InvoiceID,date,CustomerID,product_id,quantity
536365,2014-12-01,17850,3851,6
536365,2014-12-01,17850,3859,6
536365,2014-12-01,17850,885,8
536365,2014-12-01,17850,1873,6
536365,2014-12-01,17850,2871,6
536365,2014-12-01,17850,3085,2
536365,2014-12-01,17850,1487,6
536366,2014-12-01,17850,1609,6
536366,2014-12-01,17850,1606,6
536367,2014-12-01,13047,209,32
536367,2014-12-01,13047,2702,6
536367,2014-12-01,13047,2703,6
536367,2014-12-01,13047,1246,8
536367,2014-12-01,13047,1766,6
536367,2014-12-01,13047,525,6
536367,2014-12-01,13047,531,3
536367,2014-12-01,13047,530,2
536367,2014-12-01,13047,1703,3
536367,2014-12-01,13047,1998,3
536367,2014-12-01,13047,2774,4
536367,2014-12-01,13047,1058,4
536368,2014-12-01,13047,1795,6
536368,2014-12-01,13047,2793,3
536368,2014-12-01,13047,3991,3
536368,2014-12-01,13047,413,3
536369,2014-12-01,13047,278,3
536370,2014-12-01,12583,138,24
536370,2014-12-01,12583,139,24
536370,2014-12-01,12583,135,12
536370,2014-12-01,12583,2389,12
536370,2014-12-01,12583,3482,24
536370,2014-12-01,12583,1752,48
536370,2014-12-01,12583,3730,24
536370,2014-12-01,12583,3225,18
536370,2014-12-01,12583,2990,24
536370,2014-12-01,12583,3446,24
536370,2014-12-01,12583,2028,24
536370,2014-12-01,12583,800,24
536370,2014-12-01,12583,688,20
536370,2014-12-01,12583,2867,24
536370,2014-12-01,12583,3062,24
536370,2014-12-01,12583,3759,12
536370,2014-12-01,12583,2119,24
536370,2014-12-01,12583,2125,24
536370,2014-12-01,12583,2129,36
536370,2014-12-01,12583,2711,3
536371,2014-12-01,13748,2408,80
536372,2014-12-01,17850,1606,6
536372,2014-12-01,17850,1609,6
536373,2014-12-01,17850,3851,6
536373,2014-12-01,17850,3859,6
536373,2014-12-01,17850,885,8
536373,2014-12-01,17850,1124,6
536373,2014-12-01,17850,2895,6
536373,2014-12-01,17850,3031,6
536373,2014-12-01,17850,3700,6
536373,2014-12-01,17850,3701,6
536373,2014-12-01,17850,3899,2
536373,2014-12-01,17850,3902,4
536373,2014-12-01,17850,3917,6
536373,2014-12-01,17850,3913,6
536373,2014-12-01,17850,1873,6
536373,2014-12-01,17850,2871,6
536373,2014-12-01,17850,3085,2
536373,2014-12-01,17850,1487,6
536374,2014-12-01,15100,3683,32
536375,2014-12-01,17850,3851,6
536375,2014-12-01,17850,3859,6
536375,2014-12-01,17850,885,8
536375,2014-12-01,17850,1124,6
536375,2014-12-01,17850,2895,6
536375,2014-12-01,17850,3031,6
536375,2014-12-01,17850,3700,6
536375,2014-12-01,17850,3701,6
536375,2014-12-01,17850,3899,2
536375,2014-12-01,17850,3902,4
536375,2014-12-01,17850,3917,6
536375,2014-12-01,17850,3913,6
536375,2014-12-01,17850,1873,6
536375,2014-12-01,17850,2871,6
536375,2014-12-01,17850,3085,2
536375,2014-12-01,17850,1487,6
536376,2014-12-01,15291,1729,48
536376,2014-12-01,15291,2807,64
536377,2014-12-01,17850,1606,6
536377,2014-12-01,17850,1609,6
536378,2014-12-01,14688,1826,10
536378,2014-12-01,14688,1816,10
536378,2014-12-01,14688,1820,10
536378,2014-12-01,14688,3495,10
536378,2014-12-01,14688,2788,12
536378,2014-12-01,14688,400,6
536378,2014-12-01,14688,3272,12
536378,2014-12-01,14688,2018,10
536378,2014-12-01,14688,3499,6
536378,2014-12-01,14688,2030,6
536378,2014-12-01,14688,2363,120
536378,2014-12-01,14688,2359,24
536378,2014-12-01,14688,2361,24
536378,2014-12-01,14688,100,24
536378,2014-12-01,14688,3590,6
536378,2014-12-01,14688,675,48
536378,2014-12-01,14688,2792,96
536378,2014-12-01,14688,1841,10
536378,2014-12-01,14688,1827,10
536380,2014-12-01,17809,1794,24
536381,2014-12-01,15311,2921,23
536381,2014-12-01,15311,1452,5
536381,2014-12-01,15311,1839,10
536381,2014-12-01,15311,133,2
536381,2014-12-01,15311,3869,6
536381,2014-12-01,15311,2798,24
536381,2014-12-01,15311,827,24
536381,2014-12-01,15311,2486,1
536381,2014-12-01,15311,1219,1
536381,2014-12-01,15311,2503,1
536381,2014-12-01,15311,3344,10
536381,2014-12-01,15311,4005,3
536381,2014-12-01,15311,857,1
536381,2014-12-01,15311,1439,2
536381,2014-12-01,15311,3990,1
536381,2014-12-01,15311,2529,1
536381,2014-12-01,15311,2408,4
536381,2014-12-01,15311,2411,1
